Platform,Service_Title,Details,Price,Link,Image_Path
MahirCompany,AC General Service,- Per AC (1 to 2.5 tons),Rs:3300,https://mahircompany.com/ac-general-service,image3/mahir_1.jpg
MahirCompany,AC installation,- Installation with 10 Feet pipe (1 to 2.5 tons),Rs:5100,https://mahircompany.com/ac-installation,image3/mahir_2.jpg
MahirCompany,AC Repairing,- Visit and Inspection Charges,Rs:1000,https://mahircompany.com/ac-repairing,image3/mahir_3.jpg
MahirCompany,AC Mounting and Dismounting,- Per AC (1 to 2.5 tons),Rs:6400,https://mahircompany.com/ac-mounting-and-dismounting,image3/mahir_4.jpg
MahirCompany,AC Dismounting,- Per AC (1 to 2.5 tons),Rs:1200,https://mahircompany.com/ac-dismounting,image3/mahir_5.jpg
MahirCompany,AC Mounting and Dismounting + AC General Service,- Per AC (1 to 2.5 tons),Rs:8500,https://mahircompany.com/ac-mounting-and-dismounting-ac-general-service,image3/mahir_6.jpg
MahirCompany,Mixer Tap Installation,- Per Tap,Rs:950,https://mahircompany.com/mixer-tap-installation,image3/mahir_7.jpg
MahirCompany,Single tap Installation,- Per Tap (Discount on more than 2),Rs:900,https://mahircompany.com/single-tap-installation,image3/mahir_8.jpg
MahirCompany,Sink Spindle Change,- Starting From,Rs:900,https://mahircompany.com/sink-spindle-change,image3/mahir_9.jpg
MahirCompany,Muslim Shower Replacement,- Per Muslim Shower,Rs:950,https://mahircompany.com/muslim-shower-replacement,image3/mahir_10.jpg
MahirCompany,Water Motor Installation,- Vary After Inspection,Rs:1350,https://mahircompany.com/water-motor-installation,image3/mahir_11.jpg
MahirCompany,Kitchen Leakage Repairing,- Visit and Inspection Charges,Rs:600,https://mahircompany.com/kitchen-leakage-repairing,image3/mahir_12.jpg
MahirCompany,Commode Tank Machine Repairing,- Per Tank,Rs:1350,https://mahircompany.com/commode-tank-machine-repairing,image3/mahir_13.jpg
MahirCompany,Hot or Cold Water Piping,- Visit and Inspection Charges,Rs:1000,https://mahircompany.com/hot-or-cold-water-piping,image3/mahir_14.jpg
MahirCompany,Washroom Accessory Installation,"- Bathroom Shelves, Soap Dispensers, Towel Rails, Toothbrush Holders",Rs:2000,https://mahircompany.com/washroom-accessory-installation,image3/mahir_15.jpg
MahirCompany,Kitchen Drain Blockage,- Vary After Inspection,Rs:1200,https://mahircompany.com/kitchen-drain-blockage,image3/mahir_16.jpg
MahirCompany,Automatic Washing Machine Installation (With Wiring),- Vary After inspection,Rs:2800,https://mahircompany.com/automatic-washing-machine-installation-with-wiring,image3/mahir_17.jpg
MahirCompany,Commode Tank Machine Replacement,- Per Tank,Rs:1200,https://mahircompany.com/commode-tank-machine-replacement,image3/mahir_18.jpg
MahirCompany,Water Motor Repairing,- Visit and Inspection Charges,Rs:1000,https://mahircompany.com/water-motor-repairing,image3/mahir_19.jpg
MahirCompany,Oven Range Service,- Per Oven Range,Rs:1800,https://mahircompany.com/oven-range-service,image3/mahir_20.jpg
MahirCompany,Water Tank Supply Issue,- Visit and Inspection Charges,Rs:900,https://mahircompany.com/water-tank-supply-issue,image3/mahir_21.jpg
MahirCompany,Gas Pipe Wiring,- Visit and Inspection Charges,Rs:900,https://mahircompany.com/gas-pipe-wiring,image3/mahir_22.jpg
MahirCompany,House Plumbing Work,- Visit and Inspection Charges,Rs:900,https://mahircompany.com/house-plumbing-work,image3/mahir_23.jpg
MahirCompany,Commode Installation,- Vary After inspection,Rs:2800,https://mahircompany.com/commode-installation,image3/mahir_24.jpg
MahirCompany,Pipeline Water Leakage,- Visit and Inspection Charges,Rs:900,https://mahircompany.com/pipeline-water-leakage,image3/mahir_25.jpg
MahirCompany,Drain Pipe Installation,- Visit and Inspection Charges,Rs:900,https://mahircompany.com/drain-pipe-installation,image3/mahir_26.jpg
MahirCompany,Sink Installation,- Starting From,Rs:1800,https://mahircompany.com/sink-installation,image3/mahir_27.jpg
MahirCompany,Sink Pipe Replacement,- Vary After Inspection,Rs:900,https://mahircompany.com/sink-pipe-replacement,image3/mahir_28.jpg
MahirCompany,Water Tank Installation,- Visit and Inspection Charges,Rs:800,https://mahircompany.com/water-tank-installation,image3/mahir_29.jpg
MahirCompany,Automatic Washing Machine Installation (Without Wiring),- Vary After inspection,Rs:2000,https://mahircompany.com/automatic-washing-machine-installation-without-wiring,image3/mahir_30.jpg
MahirCompany,Handle Valve Replacement,- Vary After Inspection,Rs:1200,https://mahircompany.com/handle-valve-replacement,image3/mahir_31.jpg
MahirCompany,Handle Valve installation,- Vary After Inspection,Rs:1000,https://mahircompany.com/handle-valve-installation,image3/mahir_32.jpg
MahirCompany,Bath Shower Installation,- Vary After Inspection,Rs:1800,https://mahircompany.com/bath-shower-installation,image3/mahir_33.jpg
MahirCompany,Washbasin Installation,- Starting From,Rs:1500,https://mahircompany.com/washbasin-installation,image3/mahir_34.jpg
MahirCompany,Ceiling Fan Installation,- Per Fan,Rs:900,https://mahircompany.com/ceiling-fan-installation,image3/mahir_35.jpg
MahirCompany,SMD Lights Installation (Without Wiring),- Per Light (Discount on more then 2),Rs:800,https://mahircompany.com/smd-lights-installation-without-wiring,image3/mahir_36.jpg
MahirCompany,32-42 Inch LED TV or LCD Mounting,- Vary After Inspection,Rs:1500,https://mahircompany.com/32-42-inch-led-tv-or-lcd-mounting,image3/mahir_37.jpg
